epoch,recall,precision,hit,ndcg,loss
1,0.0,0.0,0.0,0.0,5.5945272
2,0.0,0.0,0.0,0.0,5.1971188
3,0.0,0.0,0.0,0.0,5.0066195
4,0.0,0.0,0.0,0.0,4.8980045
5,0.0,0.0,0.0,0.0,4.830704
6,0.0,0.0,0.0,0.0,4.7651196
7,0.009433962264150943,0.0004716981132075472,0.009433962264150943,0.002262381760076712,4.697328
8,0.009433962264150943,0.0004716981132075472,0.009433962264150943,0.002631537223123867,4.612026
9,0.009433962264150943,0.0004716981132075472,0.009433962264150943,0.002147832534876915,4.480068
10,0.018867924528301886,0.0009433962264150943,0.018867924528301886,0.00429566506975383,4.2679076
11,0.02830188679245283,0.0014150943396226416,0.02830188679245283,0.0069394618674158345,3.9028358
12,0.02830188679245283,0.0014150943396226416,0.02830188679245283,0.00780529322198383,3.2865014
13,0.018867924528301886,0.0009433962264150943,0.018867924528301886,0.006790013060295103,2.5923922
14,0.03773584905660377,0.0018867924528301887,0.03773584905660377,0.0122775356435187,2.085306
15,0.0660377358490566,0.00330188679245283,0.0660377358490566,0.02093587870879812,1.747885
16,0.04716981132075471,0.0023584905660377358,0.04716981132075471,0.014451735526756347,1.4580532
17,0.0660377358490566,0.00330188679245283,0.0660377358490566,0.021267834959457357,1.3535588
18,0.0660377358490566,0.00330188679245283,0.0660377358490566,0.01792318939013835,1.232135
19,0.056603773584905655,0.002830188679245283,0.056603773584905655,0.015134815806490782,1.1376717
20,0.04716981132075471,0.0023584905660377358,0.04716981132075471,0.012952681720995174,1.0317788
21,0.04716981132075471,0.0023584905660377358,0.04716981132075471,0.014084501941292562,0.98972166
22,0.0660377358490566,0.00330188679245283,0.0660377358490566,0.017331406130435142,0.92831695
23,0.0660377358490566,0.00330188679245283,0.0660377358490566,0.017025973741692253,0.8726622
24,0.056603773584905655,0.002830188679245283,0.056603773584905655,0.015269195300180269,0.8486041
25,0.056603773584905655,0.002830188679245283,0.056603773584905655,0.014444980001568398,0.77850413
26,0.0660377358490566,0.00330188679245283,0.0660377358490566,0.01731575614084499,0.7481786
27,0.056603773584905655,0.002830188679245283,0.056603773584905655,0.01729449777042072,0.7081309
28,0.0660377358490566,0.00330188679245283,0.0660377358490566,0.020636354278475776,0.6828705
29,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.023972151611012404,0.66907495
30,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.023648454323832217,0.64075136
