epoch,recall,precision,hit,ndcg,loss
1,0.0,0.0,0.0,0.0,4.2533374
2,0.0,0.0,0.0,0.0,4.1941376
3,0.0,0.0,0.0,0.0,4.1236944
4,0.0,0.0,0.0,0.0,4.0402713
5,0.0,0.0,0.0,0.0,3.955504
6,0.0,0.0,0.0,0.0,3.8563654
7,0.018867924528301886,0.0009433962264150943,0.018867924528301886,0.004365626663391682,3.7566595
8,0.03773584905660377,0.0018867924528301887,0.03773584905660377,0.009490170045375617,3.6473095
9,0.04716981132075471,0.0023584905660377358,0.04716981132075471,0.01268947620714745,3.5247025
10,0.04716981132075471,0.0023584905660377358,0.04716981132075471,0.013819459240686843,3.3963025
11,0.056603773584905655,0.002830188679245283,0.056603773584905655,0.017060060511312283,3.275857
12,0.056603773584905655,0.002830188679245283,0.056603773584905655,0.018802093658365923,3.1418364
13,0.056603773584905655,0.002830188679245283,0.056603773584905655,0.021304011938422917,3.0132499
14,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.026108623637541482,2.873893
15,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.026428095744194347,2.7405415
16,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.02666948831314806,2.6239889
17,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.02796088244882045,2.4884636
18,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.028116084025279472,2.3666105
19,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.029034416334147963,2.2489157
20,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.0291299057744004,2.1464987
21,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.029212026446323133,2.0422585
22,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.029212026446323133,1.9366186
23,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.029034416334147963,1.8479362
24,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.029688411069304633,1.7566185
25,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.029606290397381895,1.6788745
26,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.029606290397381895,1.6030656
27,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.029534699648418438,1.5154214
28,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.029471572193443176,1.442689
29,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.029415364412218502,1.3880281
30,0.07547169811320754,0.003773584905660377,0.07547169811320754,0.029415364412218502,1.3127179
